id:ID,name,type:LABEL
A0A087X1C5,Putative cytochrome P450 2D7,Protein
A0A0B4J2F0,Protein PIGBOS1,Protein
A0A0B4J2F2,Unknown Protein,Protein
A0A0C5B5G6,Mitochondrial-derived peptide MOTS-c,Protein
A0A0K2S4Q6,Protein CD300H,Protein
A0A0U1RRE5,Negative regulator of P-body association,Protein
A0A1B0GTW7,Ciliated left-right organizer metallopeptidase,Protein
619702,"Heterotaxy, visceral, 12, autosomal",Disease
A0AV02,Solute carrier family 12 member 8,Protein
A0AV96,RNA-binding protein 47,Protein
A0AVF1,Intraflagellar transport protein 56,Protein
619534,"Biliary, renal, neurologic, and skeletal syndrome",Disease
A0AVI4,E3 ubiquitin-protein ligase TM129,Protein
A0AVK6,Transcription factor E2F8,Protein
A0AVT1,Ubiquitin-like modifier-activating enzyme 6,Protein
A0FGR8,Extended synaptotagmin-2,Protein
A0FGR9,Extended synaptotagmin-3,Protein
A0JLT2,Mediator of RNA polymerase II transcription subunit 19,Protein
A0JNW5,Bridge-like lipid transfer protein family member 3B,Protein
A0JP26,POTE ankyrin domain family member B3,Protein
A0M8Q6,Immunoglobulin lambda constant 7,Protein
A0MZ66,Shootin-1,Protein
A0PJK1,Sodium/mannose cotransporter SLC5A10/glucose cotransporter 5),Protein
A0PJY2,Fez family zinc finger protein 1,Protein
616030,Hypogonadotropic hypogonadism 22 with or without anosmia,Disease
A0PK00,Transmembrane protein 120B,Protein
A0PK11,Clarin-2,Protein
619174,"Deafness, autosomal recessive, 117",Disease
A1A4S6,Rho GTPase-activating protein 10,Protein
A1A4Y4,Immunity-related GTPase family M protein,Protein
612278,Inflammatory bowel disease 19,Disease
A1A519,Protein FAM170A,Protein
A1A5B4,Anoctamin-9,Protein
A1A5C7,Solute carrier family 22 member 23,Protein
A1E959,Odontogenic ameloblast-associated protein,Protein
A1KXE4,Myelin-associated neurite-outgrowth inhibitor,Protein
A1KZ92,Probable oxidoreductase PXDNL,Protein
A1L0T0,2-hydroxyacyl-CoA lyase 2,Protein
A1L167,Ubiquitin-conjugating enzyme E2Q-like protein 1,Protein
A1L190,Synaptonemal complex central element protein 3,Protein
A1L390,Pleckstrin homology domain-containing family G member 3,Protein
A1L3X0,Very long chain fatty acid elongase 7,Protein
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,Protein
A1L4K1,Fibronectin type III and SPRY domain-containing protein 2,Protein
A1X283,SH3 and PX domain-containing protein 2B,Protein
249420,Frank-Ter Haar syndrome,Disease
A1XBS5,CBY1-interacting BAR domain-containing protein 1,Protein
618219,"Polydactyly, postaxial, A9",Disease
A1Z1Q3,ADP-ribose glycohydrolase MACROD2,Protein
A2A288,Probable ribonuclease ZC3H12D,Protein
A2A2Y4,FERM domain-containing protein 3,Protein
A2IDD5,Coiled-coil domain-containing protein 78,Protein
614807,"Myopathy, centronuclear, 4",Disease
A2PYH4,Probable ATP-dependent DNA helicase HFM1,Protein
615724,Premature ovarian failure 9,Disease
A2RRP1,NBAS subunit of NRZ tethering complex,Protein
614800,"Short stature, optic nerve atrophy, and Pelger-Huet anomaly",Disease
616483,Infantile liver failure syndrome 2,Disease
A2RTX5,"Threonine--tRNA ligase 2, cytoplasmic",Protein
A2RU14,Transmembrane protein 218,Protein
619562,Joubert syndrome 39,Disease
A2RU30,Protein TESPA1,Protein
A2RU49,Hydroxylysine kinase,Protein
A2RUB1,Meiosis-specific coiled-coil domain-containing protein MEIOC,Protein
A2RUB6,Coiled-coil domain-containing protein 66,Protein
A2RUC4,tRNA wybutosine-synthesizing protein 5wyosine-C)-hydroxylase),Protein
A2RUH7,Myosin-binding protein H-like,Protein
A2VDJ0,Transmembrane protein 131-like,Protein
A2VEC9,SCO-spondin,Protein
A3KMH1,von Willebrand factor A domain-containing protein 8,Protein
620422,Retinitis pigmentosa 97,Disease
A4D0S4,Laminin subunit beta-4,Protein
A4D126,D-ribitol-5-phosphate cytidylyltransferase,Protein
614643,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A7,Disease
616052,Muscular dystrophy-dystroglycanopathy limb-girdle C7,Disease
A4D161,Protein FAM221A,Protein
A4D1B5,Gamma-secretase-activating protein [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form],Protein
A4D1E9,GTP-binding protein 10,Protein
A4D1P6,WD repeat-containing protein 91,Protein
A4D1T9,Probable inactive serine protease 37,Protein
A4D256,Dual specificity protein phosphatase CDC14C,Protein
A4D2B0,Metallo-beta-lactamase domain-containing protein 1,Protein
A4GXA9,Probable crossover junction endonuclease EME2,Protein
A4UGR9,Xin actin-binding repeat-containing protein 2,Protein
A5A3E0,POTE ankyrin domain family member F,Protein
A5D8T8,C-type lectin domain family 18 member A,Protein
